學測報名序號,班級,座號,錄取學校,錄取系所,入學管道,"輸出日期：8/15/2023, 9:09:49 AM"
26831314,313,14,國立臺灣大學,護理學系,繁星推薦,用電腦版開啟，上方選單選
26831326,313,26,國立清華大學,工程與系統科學系甲組(低碳綠能組),繁星推薦,「資料」＼「臨時篩選器」可以篩選你要的資料
26831317,313,17,國立陽明交通大學,材料科學與工程學系,繁星推薦,視覺化統計網址：
26831324,313,24,國立成功大學,會計學系,繁星推薦,https://lookerstudio.google.com/reporting/8ea0457f-1eaf-43f7-824c-813846f0d08e
26831327,313,27,國立政治大學,會計學系,繁星推薦,
26830324,303,24,國立臺灣師範大學,華語文教學系應用華語文學組,繁星推薦,
26831313,313,13,國立臺灣師範大學,地球科學系,繁星推薦,
26830223,302,23,國立臺灣師範大學,英語學系,考試分發,
26830823,308,23,國立中正大學,中國文學系,繁星推薦,
26831306,313,06,國立中央大學,理學院學士班,繁星推薦,
26830914,309,14,國立中山大學,社會學系,繁星推薦,
26830901,309,01,國立臺北大學,不動產與城鄉環境學系,繁星推薦,
26830607,306,07,國立臺北大學,法律學系進修推廣部,獨招,
26831532,315,32,慈濟大學,護理學系,繁星推薦,
26831402,314,02,亞洲大學,護理學系臨床照護組,繁星推薦,
26831435,314,35,大葉大學,護理學系,個人申請,
26830402,304,02,長庚學校財團法人長庚科技大學,護理系（林口校區）,四技二專,
26831404,314,04,長庚學校財團法人長庚科技大學,護理系（林口校區）,四技二專,
26831502,315,02,長庚學校財團法人長庚科技大學,護理系（林口校區）,四技二專,
26831503,315,03,長庚學校財團法人長庚科技大學,護理系（林口校區）,四技二專,
26831510,315,10,長庚學校財團法人長庚科技大學,護理系（林口校區）,四技二專,
26831514,315,14,長庚學校財團法人長庚科技大學,護理系（林口校區）,四技二專,
26831528,315,28,長庚學校財團法人長庚科技大學,護理系（林口校區）,四技二專,
26831415,314,15,亞洲大學,護理學系(臨床照護組),考試分發,
26830222,302,22,國立雲林科技大學,文化資產維護系,四技二專,
26830827,308,27,國立彰化師範大學,特殊教育學系,繁星推薦,
26830303,303,03,國立彰化師範大學,國文學系,考試分發,
26831316,313,16,國立臺灣海洋大學,河海工程學系,繁星推薦,
26831015,310,15,國立臺灣海洋大學,系統工程暨造船學系,繁星推薦,
26831223,312,23,國立臺灣海洋大學,河海工程學系,個人申請,
26831224,312,24,國立臺灣海洋大學,海洋工程科技學士學位學程,個人申請,
26831229,312,29,國立臺灣海洋大學,河海工程學系,個人申請,
26830809,308,09,國立臺灣海洋大學,運輸科學系A組,考試分發,
26831325,313,25,國立臺灣海洋大學,海洋生物科技學士學位學程,考試分發,
26830116,301,16,國立高雄師範大學,國文學系,繁星推薦,
26830405,304,05,國立臺灣體育運動大學,運動資訊與傳播學系,繁星推薦,
26830821,308,21,國立體育大學,適應體育學系(一般組),繁星推薦,
26830419,304,19,國立體育大學,技擊運動技術學系,獨招,
26830504,305,04,國立體育大學,休閒產業經營學系,考試分發,
26830206,302,06,國立聯合大學,華語文學系,繁星推薦,
26831121,311,21,國立聯合大學,電機工程學系,繁星推薦,
26831142,311,42,國立聯合大學,電子工程學系,繁星推薦,
26831143,311,43,國立聯合大學,土木與防災工程學系,個人申請,
26831407,314,07,國立聯合大學,華語文學系,個人申請,
26830137,301,37,國立聯合大學,工業設計學系(社會組),考試分發,
26830710,307,10,國立聯合大學,文化創意與數位行銷學系,考試分發,
26831013,310,13,國立聯合大學,臺灣語文與傳播學系,考試分發,
26831219,312,19,國立聯合大學,機械工程學系,考試分發,
26831512,315,12,國立暨南國際大學,經濟學系,繁星推薦,
26830615,306,15,國立嘉義大學,數位學習設計與管理學系,繁星推薦,
26830121,301,21,國立嘉義大學,應用歷史學系,個人申請,
26830228,302,28,國立嘉義大學,特殊教育學系,考試分發,
26830326,303,26,國立嘉義大學,外國語言學系英語教學組,考試分發,
26830825,308,25,國立嘉義大學,教育學系,考試分發,
26830828,308,28,國立嘉義大學,應用歷史學系,考試分發,
26831433,314,33,國立嘉義大學,食品科學系,考試分發,
26831305,313,05,國立東華大學,材料科學與工程學系,繁星推薦,
26831311,313,11,國立東華大學,物理學系物理組,繁星推薦,
26830706,307,06,國立東華大學,幼兒教育學系,繁星推薦,
26830320,303,20,國立東華大學,觀光暨休閒遊憩學系,繁星推薦,
26830211,302,11,國立東華大學,教育行政與管理學系,個人申請,
26830102,301,02,國立東華大學,藝術創意產業學系,考試分發,
26830132,301,32,國立東華大學,國際企業學系,考試分發,
26830921,309,21,國立東華大學,民族語言與傳播學系,考試分發,
26830726,307,26,國立臺南大學,特殊教育學系,繁星推薦,
26831304,313,04,國立臺南大學,教育學系,個人申請,
26830616,306,16,國立臺南大學,教育學系,考試分發,
26831328,313,28,國立宜蘭大學,電子工程學系,繁星推薦,
26831321,313,21,國立宜蘭大學,土木工程學系,繁星推薦,
26831439,314,39,國立宜蘭大學,食品科學系,繁星推薦,
26831422,314,22,國立宜蘭大學,食品科學系,繁星推薦,
26830824,308,24,國立宜蘭大學,休閒產業與健康促進學系,考試分發,
26831038,310,38,國立宜蘭大學,土木工程學系,考試分發,
26831122,311,22,國立宜蘭大學,生物機電工程學系,考試分發,
26831124,311,24,國立宜蘭大學,化學工程與材料工程學系,考試分發,
26831414,314,14,國立宜蘭大學,食品科學系,考試分發,
26830603,306,03,國立金門大學,海洋與邊境管理學系,繁星推薦,
26830910,309,10,國立金門大學,國際暨大陸事務學系,個人申請,
26831517,315,17,國立金門大學,食品科學系,個人申請,
26831119,311,19,國立金門大學,海洋與邊境管理學系,考試分發,
26830802,308,02,國立高雄大學,運動健康與休閒學系,繁星推薦,
26831028,310,28,國立高雄大學,生命科學系,繁星推薦,
26830923,309,23,國立屏東大學,行銷與流通管理學系,繁星推薦,
26830103,301,03,國立臺東大學,華語文學系,繁星推薦,
26831235,312,35,國立臺東大學,應用科學系應用物理組,繁星推薦,
26830709,307,09,國立臺東大學,應用數學系,繁星推薦,
26830519,305,19,國防大學,政治作戰學院新聞系,軍校聯招,
26831406,314,06,海軍官校,不分系,軍校聯招,
26831023,310,23,空軍官校,,軍校聯招,
26830427,304,27,陸軍軍官學校,不分系,軍校聯招,
26830105,301,05,國立臺中教育大學,英語學系,繁星推薦,
26830528,305,28,國立臺中教育大學,台灣語文學系,考試分發,
26830803,308,03,國立臺北教育大學,藝術與造形設計學系設計組,繁星推薦,
26831040,310,40,國立高雄科技大學,模具工程系,四技二專,
26831029,310,29,國立勤益科技大學,冷凍空調與能源系,四技二專,
26830517,305,17,陸軍專科學校,運動科學科,軍校聯招,
26830118,301,18,臺北市立大學,心理與諮商學系,繁星推薦,
26831410,314,10,高雄醫學大學,醫學社會學與社會工作學系,繁星推薦,
26831315,313,15,中山醫學大學,營養學系,繁星推薦,
26831312,313,12,中國醫藥大學,生物醫學影像暨放射科學學系,繁星推薦,
26830712,307,12,中國醫藥大學,公共衛生學院大一不分系,繁星推薦,
26831323,313,23,高雄醫學大學,運動醫學系,考試分發,
26830611,306,11,輔仁大學,心理學系,繁星推薦,
26830318,303,18,輔仁大學,日本語文學系,繁星推薦,
26830926,309,26,輔仁大學,統計資訊學系,繁星推薦,
26831001,310,01,輔仁大學,電機工程學系,繁星推薦,
26830302,303,02,輔仁大學,義大利語文學系,個人申請,
26830313,303,13,輔仁大學,義大利語文學系,個人申請,
26830415,304,15,輔仁大學,哲學系,個人申請,
26830522,305,22,輔仁大學,宗教學系,個人申請,
26830601,306,01,輔仁大學,織品服裝學系織品設計組,個人申請,
26830624,306,24,輔仁大學,日本語文學系,個人申請,
26830716,307,16,輔仁大學,織品服裝學系織品服飾行銷組,個人申請,
26830826,308,26,輔仁大學,義大利語文學系,個人申請,
26831507,315,07,輔仁大學,宗教學系,個人申請,
26830128,301,28,輔仁大學,英國語文學系,考試分發,
26830129,301,29,輔仁大學,英國語文學系,考試分發,
26830203,302,03,輔仁大學,教育領導與科技發展學士學位學程,考試分發,
26830214,302,14,輔仁大學,日本語文學系,考試分發,
26830216,302,16,輔仁大學,義大利語文學系,考試分發,
26830236,302,36,輔仁大學,中國文學系,考試分發,
26830307,303,07,輔仁大學,餐旅管理學系,考試分發,
26830329,303,29,輔仁大學,歷史學系,考試分發,
26830331,303,31,輔仁大學,義大利語文學系,考試分發,
26830503,305,03,輔仁大學,圖書資訊學系,考試分發,
26830505,305,05,輔仁大學,數學系應用數學組,考試分發,
26830520,305,20,輔仁大學,餐旅管理學系,考試分發,
26830523,305,23,輔仁大學,餐旅管理學系,考試分發,
26830708,307,08,輔仁大學,餐旅管理學系,考試分發,
26830814,308,14,輔仁大學,社會工作學系,考試分發,
26830818,308,18,輔仁大學,兒童與家庭學系,考試分發,
26830918,309,18,輔仁大學,歷史學系,考試分發,
26830920,309,20,輔仁大學,教育領導與科技發展學士學位學程,考試分發,
26830922,309,22,輔仁大學,歷史學系,考試分發,
26831115,311,15,輔仁大學,數學系資訊數學組,考試分發,
26831242,312,42,輔仁大學,歷史學系,考試分發,
26831301,313,01,淡江大學,機械與機電工程學系光機電整合組,繁星推薦,
26831308,313,08,淡江大學,會計學系,繁星推薦,
26830408,304,08,淡江大學,企業管理學系,繁星推薦,
26831511,315,11,淡江大學,機械與機電工程學系光機電整合組,繁星推薦,
26830322,303,22,淡江大學,日本語文學系,繁星推薦,
26830101,301,01,淡江大學,俄國語文學系,個人申請,
26830138,301,38,淡江大學,法國語文學系,個人申請,
26830213,302,13,淡江大學,國際觀光管理學系全英語學士班,個人申請,
26830229,302,29,淡江大學,外交與國際關係學系全英語學士班,個人申請,
26830232,302,32,淡江大學,公共行政學系,個人申請,
26830321,303,21,淡江大學,法國語文學系,個人申請,
26830417,304,17,淡江大學,歷史學系,個人申請,
26830719,307,19,淡江大學,全球政治經濟學系全英語學士班,個人申請,
26830924,309,24,淡江大學,中國文學學系,個人申請,
26831008,310,08,淡江大學,水資源及環境工程學系水資源工程組,個人申請,
26831111,311,11,淡江大學,土木工程學系,個人申請,
26831116,311,16,淡江大學,全球政治經濟學系全英語學士班,個人申請,
26831117,311,17,淡江大學,機械與機電工程學系光機電整合組,個人申請,
26831126,311,26,淡江大學,人工智慧學系,個人申請,
26831139,311,39,淡江大學,電機工程學系電機資訊組,個人申請,
26831232,312,32,淡江大學,中國文學學系,個人申請,
26831238,312,38,淡江大學,電機工程學系電機資訊組,個人申請,
26831240,312,40,淡江大學,物理學系應用物理組,個人申請,
26830126,301,26,淡江大學,經濟學系,考試分發,
26830131,301,31,淡江大學,經濟學系,考試分發,
26830210,302,10,淡江大學,資訊與圖書館學系,考試分發,
26830215,302,15,淡江大學,法國語文學系,考試分發,
26830221,302,21,淡江大學,風險管理與保險學系,考試分發,
26830335,303,35,淡江大學,國際企業學系經貿管理組,考試分發,
26830409,304,09,淡江大學,會計學系,考試分發,
26830502,305,02,淡江大學,日本語文學系,考試分發,
26830506,305,06,淡江大學,產業經濟學系,考試分發,
26830513,305,13,淡江大學,風險管理與保險學系,考試分發,
26830602,306,02,淡江大學,產業經濟學系,考試分發,
26830604,306,04,淡江大學,財務金融學系,考試分發,
26830619,306,19,淡江大學,經濟學系,考試分發,
26830620,306,20,淡江大學,經濟學系,考試分發,
26830626,306,26,淡江大學,公共行政學系,考試分發,
26830808,308,08,淡江大學,風險管理與保險學系,考試分發,
26830829,308,29,淡江大學,統計學系,考試分發,
26830902,309,02,淡江大學,會計學系,考試分發,
26830907,309,07,淡江大學,統計學系,考試分發,
26830908,309,08,淡江大學,經濟學系,考試分發,
26831003,310,03,淡江大學,教育科技學系,考試分發,
26831018,310,18,淡江大學,英文學系,考試分發,
26831033,310,33,淡江大學,財務金融學系,考試分發,
26831234,312,34,淡江大學,經濟學系,考試分發,
26831420,314,20,淡江大學,統計學系,考試分發,
26831437,314,37,淡江大學,資訊與圖書館學系,考試分發,
26831506,315,06,淡江大學,化學工程與材料工程學系,考試分發,
26831535,315,35,淡江大學,教育與未來設計學系,考試分發,
26831522,315,22,東海大學,電機工程學系,繁星推薦,
26831125,311,25,東海大學,資訊工程學系,繁星推薦,
26830124,301,24,東海大學,景觀學系,個人申請,
26830327,303,27,東海大學,外國語文學系,個人申請,
26830336,303,36,東海大學,景觀學系,個人申請,
26830813,308,13,東海大學,會計學系,個人申請,
26831127,311,27,東海大學,國際經營與貿易學系,個人申請,
26831135,311,35,東海大學,工業工程與經營資訊學系(智慧設計與生產),個人申請,
26831243,312,43,東海大學,應用數學系,個人申請,
26830330,303,30,東海大學,哲學系,考試分發,
26830518,305,18,東海大學,社會學系,考試分發,
26830904,309,04,東海大學,會計學系,考試分發,
26830927,309,27,東海大學,經濟學系產業經濟組,考試分發,
26831005,310,05,東海大學,化學工程與材料工程學系,考試分發,
26831120,311,20,東海大學,工業工程與經營資訊學系(智慧經營與管理組),考試分發,
26831130,311,30,東海大學,國際經營與貿易學系,考試分發,
26831524,315,24,東海大學,經濟學系產業經濟組,考試分發,
26830606,306,06,東吳大學,企業管理學系,繁星推薦,
26831017,310,17,東吳大學,財務工程與精算數學系,繁星推薦,
26831303,313,03,東吳大學,數學系,繁星推薦,
26831004,310,04,東吳大學,數學系,繁星推薦,
26830305,303,05,東吳大學,微生物學系,繁星推薦,
26830911,309,11,東吳大學,經濟學系,個人申請,
26831042,310,42,東吳大學,物理學系,個人申請,
26830115,301,15,東吳大學,社會工作學系,考試分發,
26830208,302,08,東吳大學,英文學系,考試分發,
26830515,305,15,東吳大學,資料科學系,考試分發,
26830627,306,27,東吳大學,日本語文學系,考試分發,
26830909,309,09,東吳大學,經濟學系,考試分發,
26831320,313,20,東吳大學,財務工程與精算數學系,考試分發,
26831309,313,09,中原大學,電子工程學系,繁星推薦,
26831310,313,10,中原大學,化學工程學系綠能製程組,繁星推薦,
26830715,307,15,中原大學,企業管理學系工商管理組,繁星推薦,
26831035,310,35,中原大學,生物科技學系,繁星推薦,
26831403,314,03,中原大學,生物科技學系,繁星推薦,
26830526,305,26,中原大學,特殊教育學系,繁星推薦,
26830511,305,11,中原大學,企業管理學系工商管理組,繁星推薦,
26830133,301,33,中原大學,應用華語文學系,個人申請,
26830717,307,17,中原大學,應用華語文學系,個人申請,
26830729,307,29,中原大學,國際經營與貿易學系,個人申請,
26830801,308,01,中原大學,應用華語文學系,個人申請,
26830913,309,13,中原大學,財經法律學系科技法組,個人申請,
26831137,311,37,中原大學,電機資訊學院學士班,個人申請,
26831203,312,03,中原大學,土木工程學系,個人申請,
26831236,312,36,中原大學,生物醫學工程學系,個人申請,
26831307,313,07,中原大學,工業與系統工程學系工程組,個人申請,
26831319,313,19,中原大學,機械工程學系,個人申請,
26831505,315,05,中原大學,資訊管理學系,個人申請,
26830231,302,31,中原大學,應用外國語文學系,考試分發,
26830323,303,23,中原大學,資訊管理學系,考試分發,
26830804,308,04,中原大學,財務金融學系,考試分發,
26830812,308,12,中原大學,企業管理學系工商管理組,考試分發,
26830820,308,20,中原大學,企業管理學系高科技業管理組,考試分發,
26830903,309,03,中原大學,財經法律學系財貿法組,考試分發,
26831322,313,22,長庚大學,電機工程學系,繁星推薦,
26831538,315,38,長庚大學,化工與材料工程學系,特殊選才,
26830510,305,10,長庚大學,工業設計學系,個人申請,
26831318,313,18,長庚大學,資訊工程學系,個人申請,
26830404,304,04,長庚大學,工業設計學系,考試分發,
26830703,307,03,長庚大學,工業設計學系,考試分發,
26830713,307,13,長庚大學,數位金融科技學系(乙組),考試分發,
26831141,311,41,長庚大學,工商管理學系(工商創業組),考試分發,
26831002,310,02,逢甲大學,土木工程學系,繁星推薦,
26831527,315,27,逢甲大學,化學工程學系,繁星推薦,
26830704,307,04,逢甲大學,合作經濟暨社會事業經營學系,繁星推薦,
26831106,311,06,逢甲大學,材料科學與工程學系,特殊選才,
26830122,301,22,逢甲大學,都市計畫與空間資訊學系,個人申請,
26830524,305,24,逢甲大學,都市計畫與空間資訊學系,個人申請,
26830622,306,22,逢甲大學,運輸與物流學系,個人申請,
26830727,307,27,逢甲大學,運輸與物流學系,個人申請,
26831025,310,25,逢甲大學,機械與電腦輔助工程學系,個人申請,
26831213,312,13,逢甲大學,纖維與複合材料學系,個人申請,
26831024,310,24,逢甲大學,光電科學與工程學系,考試分發,
26831131,311,31,逢甲大學,外國語文學系,考試分發,
