排名,歌名,歌手,發行日期
1,我會等,承桓,Apr-23
2,想和你看五月的晚霞,陳華,Sep-22
3,如果可以,韋禮安,Nov-21
4,你是我這輩子最想愛的呀,五堅情WOLF(S),Sep-23
5,從前說,小阿七,Dec-21
6,摯友,周星哲,May-23
7,一直都在,韋禮安,Aug-23
8,烏梅子醬,李榮浩,Nov-22
9,孤勇者,陳奕迅,Dec-21
10,查無此心,A-Lin,Aug-23
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
